Links,Claims,,,
https://thelogicalindian.com//fact-check/farmers-protest-27028,Netizens claim FIR filed against Farmers' leader Rakesh Tikait for not paying the rent of the makeshift tents being used by farmers during farmers' protest,,,24-Feb-21
https://thelogicalindian.com//fact-check/old-cropped-video-shared-with-false-claims-that-arvind-kejriwal-is-threatening-the-gujaratis-27025,A short video clip is being circulated on social media claiming that Arvind Kejriwal in his speech threatened Gujaratis,,,24-Feb-21
https://thelogicalindian.com//fact-check/old-picture-of-people-forming-bjp-lotus-claims-to-show-kerala-welcoming-yogi-adityanath-27012,"An old image is making rounds on social media which shows a human formation of BJP's symbol, the lotus",,,23-Feb-21
https://thelogicalindian.com//fact-check/coronavirus-lockdown-27005,A digitally photoshopped template of TV9 Marathi is circulating on social media with a claim that the Maharashtra government has announced a lockdown from March 15,,,23-Feb-21
https://thelogicalindian.com//fact-check/rss-workers-in-kerala-27003,A video depicting purported RSS members handcuffed and paraded by PFI has gone viral with the claim that men in the video are actual RSS workers who PFI paraded in Kerala,,,23-Feb-21
https://thelogicalindian.com//fact-check/west-bengal-26994,"A video of BJP workers attacking the house of TRS lawmaker Challa Dharma Reddy in Warangal, Telangana, has gone viral with the false claim of it belonging to West Bengal",,,22-Feb-21
https://thelogicalindian.com//fact-check/disha-ravi-26993,"Posts are viral on social media claiming Akhil Sibal, son of Kapil Sibal, is being paid Rs 5-7 lakhs per appearance for fighting Disha Ravi's case in Delhi High Court",,,22-Feb-21
https://thelogicalindian.com//fact-check/media-outlets-falsely-claim-patanjalis-coronil-has-been-approved-by-who-26991,Indian Medical Association has said that claims made by Yoga Guru Baba Ramdev about Coronil getting DCGI approval and WHO certification are completely false,,,22-Feb-21
https://thelogicalindian.com//fact-check/video-of-rescue-operation-at-chamoli-claims-to-show-indian-army-at-pangong-tso-lake-26981,A viral post includes a video of the Indian Army's rescue operation in Uttarakhand’s Chamoli,,,22-Feb-21
https://thelogicalindian.com//fact-check/claims-of-a-pakistani-national-flag-waved-at-the-congress-rally-26931,"A photo is being shared with the caption, ""It is far better to bear the extra cost of petrol of 90 rupees rather than voting to a party that raises anti-India slogans and waves Pakistani flags in their rallies""",,,19-Feb-21
https://thelogicalindian.com//fact-check/petrol-prices-26930,Social media users are sharing posts claiming that the hike in petrol prices benefits the state governments much more than the Central government,,,19-Feb-21
https://thelogicalindian.com//fact-check/edited-image-of-greta-thunberg-viral-on-social-media-26916,An edited image showing Greta Thunberg having food on a train while a group of kids overlooks her is making rounds on social media,,,18-Feb-21
https://thelogicalindian.com//fact-check/ayodhya-ram-mandir-26914,"Social media users are sharing posts claiming Nita Ambani, founder of Reliance Foundation has donated 3 gold crowns weighing 33 kg to Ayodhya's Ram Mandir",,,18-Feb-21
https://thelogicalindian.com//fact-check/indian-oil-privatisation-26913,Netizens are sharing an image of a petrol pump of IndianOil-Adani Gas Pvt,,,18-Feb-21
https://thelogicalindian.com//fact-check/sachin-tendulkar-26898,An image of a Tweet purportedly of Sachin Tendulkar replying to journalist Rana Ayyub has gone viral on social media,,,17-Feb-21
https://thelogicalindian.com//fact-check/devendra-kula-vellalar-community-26895,The Pioneer misleadingly claimed that Prime Minister Narendra Modi has announced to soon remove the Scheduled Caste status of Devendra Kula Vellalar community,,,17-Feb-21
